Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Tests,Population,continent,Density,day
China,185035.0,2742.0,4641.0,3.0,151407.0,1637.0,28987.0,71.0,160000000.0,1439323776.0,Asia,149.2199,18-04-2022
USA,82383494.0,26881.0,1015821.0,109.0,80244093.0,41383.0,1123580.0,1438.0,996639125.0,334485290.0,North America,36.0,18-04-2022
India,43045527.0,1247.0,521996.0,31.0,42511701.0,928.0,11830.0,698.0,832104846.0,1404347026.0,Asia,427.8611,18-04-2022
Brazil,30261088.0,8470.0,662076.0,65.0,29262483.0,35432.0,336529.0,8318.0,63776166.0,215270453.0,South America,25.2888,18-04-2022
France,27790834.0,19810.0,144205.0,48.0,25132351.0,217445.0,2514278.0,1541.0,260504402.0,65532665.0,Europe,118.8782,18-04-2022
Germany,23457596.0,19303.0,133437.0,8.0,20085800.0,205500.0,3238359.0,1980.0,122332384.0,84264628.0,Europe,234.893,18-04-2022
UK,21845098.0,18846.0,171781.0,97.0,20306336.0,109212.0,1366981.0,355.0,512140269.0,68525857.0,Europe,281.0,18-04-2022
Russia,18084151.0,9434.0,373713.0,213.0,17390465.0,14324.0,319973.0,2300.0,273400000.0,146046737.0,Europe,8.5275,18-04-2022
S. Korea,16353495.0,47743.0,21224.0,132.0,627278.0,0.0,15704993.0,850.0,15804065.0,51348351.0,Asia,527.0,18-04-2022
Italy,15730788.0,18492.0,161766.0,79.0,14352067.0,27704.0,1216955.0,411.0,209276026.0,60302314.0,Europe,199.9853,18-04-2022
Turkey,14999479.0,4542.0,98587.0,19.0,14763876.0,15624.0,137016.0,975.0,157348707.0,85967295.0,Asia,109.1962,18-04-2022
Spain,11726222.0,10668.0,103656.0,65.0,11206990.0,14381.0,415576.0,368.0,471036328.0,46787271.0,Europe,92.3318,18-04-2022
Vietnam,10475819.0,12012.0,42957.0,13.0,8941064.0,4218.0,1491798.0,1008.0,85703689.0,98909959.0,Asia,298.7619,18-04-2022
Argentina,9060923.0,0.0,128344.0,0.0,8895999.0,0.0,36580.0,412.0,35716069.0,45939873.0,South America,16.5481,18-04-2022
Netherlands,8023984.0,2075.0,22163.0,7.0,7412962.0,54216.0,588859.0,113.0,21107399.0,17202898.0,Europe,411.2652,18-04-2022
Japan,7374251.0,39899.0,29023.0,31.0,6829906.0,44328.0,515322.0,222.0,45700624.0,125781818.0,Asia,332.2966,18-04-2022
Iran,7208968.0,2009.0,140854.0,25.0,6948946.0,3102.0,119168.0,1307.0,50079995.0,85921663.0,Asia,52.1921,18-04-2022
Colombia,6089791.0,129.0,139751.0,2.0,5923287.0,220.0,26753.0,342.0,34265772.0,51855927.0,South America,45.1175,18-04-2022
Indonesia,6040432.0,559.0,155903.0,37.0,5833560.0,7831.0,50969.0,2771.0,94216598.0,278712873.0,Asia,146.5605,18-04-2022
Poland,5985514.0,263.0,115838.0,0.0,5334099.0,8.0,535577.0,268.0,35948483.0,37772240.0,Europe,120.6982,18-04-2022
Mexico,5727668.0,1000.0,323944.0,6.0,5028436.0,683.0,375288.0,4798.0,15714867.0,131363136.0,North America,66.9744,18-04-2022
Australia,5419380.0,34270.0,6786.0,9.0,5017584.0,48476.0,395010.0,138.0,68335670.0,26030697.0,Australia/Oceania,3.3891,18-04-2022
Ukraine,4993164.0,304.0,108256.0,3.0,968880.0,0.0,3916028.0,177.0,19521252.0,43262405.0,Europe,71.5694,18-04-2022
Malaysia,4396165.0,7140.0,35437.0,16.0,4264127.0,14423.0,96601.0,110.0,57994524.0,33109959.0,Asia,100.3046,18-04-2022
Austria,4059444.0,6227.0,16431.0,11.0,3918429.0,14139.0,124584.0,154.0,180657934.0,9098602.0,Europe,108.103,18-04-2022
Thailand,4046953.0,16994.0,27009.0,124.0,3814433.0,25910.0,205511.0,1496.0,17270775.0,70114236.0,Asia,136.5727,18-04-2022
Israel,4036684.0,4923.0,10647.0,17.0,3941841.0,0.0,84196.0,220.0,41373364.0,9326000.0,Asia,429.6048,18-04-2022
Belgium,3972963.0,0.0,31165.0,0.0,3664894.0,12275.0,276904.0,181.0,33313880.0,11680124.0,Europe,382.2156,18-04-2022
Czechia,3882412.0,751.0,40001.0,7.0,3817842.0,4521.0,24569.0,47.0,55024950.0,10744628.0,Europe,139.0,18-04-2022
South Africa,3742107.0,877.0,100181.0,34.0,3627969.0,375.0,13957.0,175.0,24198159.0,60650219.0,Africa,49.7578,18-04-2022
Portugal,3719485.0,0.0,21993.0,0.0,968880.0,0.0,2728612.0,61.0,40748372.0,10143368.0,Europe,110.1159,18-04-2022
Philippines,3683209.0,168.0,59976.0,7.0,3603312.0,1277.0,19921.0,289.0,29286749.0,112197634.0,Asia,328.6345,18-04-2022
Canada,3637710.0,5392.0,38319.0,8.0,3378726.0,5182.0,220665.0,407.0,60149136.0,38335885.0,North America,3.8447,18-04-2022
Switzerland,3578130.0,1783.0,13811.0,0.0,3253709.0,26917.0,310610.0,103.0,20548491.0,8768183.0,Europe,212.5191,18-04-2022
Peru,3556384.0,645.0,212654.0,24.0,852606.0,0.0,2491124.0,371.0,29447514.0,33795829.0,South America,26.209,18-04-2022
Chile,3531529.0,1271.0,57270.0,7.0,3325243.0,13150.0,149016.0,346.0,36471164.0,19410616.0,South America,25.4598,18-04-2022
Greece,3242037.0,3868.0,28652.0,64.0,3098268.0,12214.0,115117.0,307.0,77990894.0,10331716.0,Europe,78.1623,18-04-2022
Denmark,2950549.0,1142.0,6008.0,11.0,2913431.0,0.0,31110.0,16.0,127063375.0,5828800.0,Europe,135.4005,18-04-2022
Romania,2882590.0,686.0,65347.0,4.0,2606660.0,0.0,210583.0,235.0,22487809.0,19007469.0,Europe,79.8324,18-04-2022
Sweden,2495996.0,0.0,18572.0,0.0,2458422.0,1329.0,19002.0,24.0,18471631.0,10212255.0,Europe,22.6939,18-04-2022
Iraq,2323284.0,152.0,25198.0,0.0,2293427.0,624.0,4659.0,36.0,18429771.0,41841178.0,Asia,96.1974,18-04-2022
Serbia,1996868.0,882.0,15933.0,6.0,1960640.0,1911.0,20295.0,20.0,9383655.0,8674230.0,Europe,97.928,18-04-2022
Bangladesh,1952362.0,36.0,29126.0,2.0,1891197.0,355.0,32039.0,1283.0,13930855.0,167633174.0,Asia,1137.6682,18-04-2022
Hungary,1879480.0,0.0,45865.0,0.0,1748707.0,0.0,84908.0,50.0,11244573.0,9616342.0,Europe,103.262,18-04-2022
Slovakia,1765258.0,1263.0,19759.0,18.0,1707211.0,1445.0,38288.0,109.0,7020304.0,5464387.0,Europe,111.3484,18-04-2022
Jordan,1694216.0,0.0,14048.0,0.0,1678941.0,0.0,1227.0,124.0,16670254.0,10384866.0,Asia,115.297,18-04-2022
Georgia,1653118.0,74.0,16793.0,1.0,1634313.0,357.0,2012.0,0.0,16706619.0,3975429.0,Asia,56.9403,18-04-2022
Pakistan,1527326.0,78.0,30364.0,1.0,1493662.0,56.0,3300.0,209.0,27926021.0,228585333.0,Asia,260.2176,18-04-2022
Ireland,1504790.0,1668.0,6932.0,0.0,1374154.0,4787.0,123704.0,48.0,11971043.0,5036743.0,Europe,71.4385,18-04-2022
Norway,1420033.0,304.0,2783.0,0.0,968880.0,0.0,448370.0,20.0,11002430.0,5497300.0,Europe,17.0208,18-04-2022
Kazakhstan,1305396.0,9.0,13660.0,0.0,1290880.0,72.0,856.0,24.0,11575012.0,19179649.0,Asia,7.048,18-04-2022
Hong Kong,1198438.0,613.0,9159.0,20.0,627278.0,0.0,562001.0,115.0,44972952.0,7606111.0,Asia,6887.952,18-04-2022
Morocco,1164411.0,30.0,16064.0,1.0,1147740.0,66.0,607.0,293.0,11237010.0,37695462.0,Africa,84.588,18-04-2022
Singapore,1162780.0,2480.0,1316.0,0.0,1097300.0,3396.0,64164.0,9.0,23611604.0,5932896.0,Asia,8371.1915,18-04-2022
Bulgaria,1150342.0,895.0,36810.0,26.0,952493.0,3290.0,161039.0,112.0,9760647.0,6854612.0,Europe,61.7303,18-04-2022
Croatia,1113547.0,30.0,15742.0,7.0,1093859.0,822.0,3946.0,23.0,4743521.0,4059850.0,Europe,71.7264,18-04-2022
Cuba,1100073.0,337.0,8521.0,1.0,1089838.0,433.0,1714.0,23.0,12920253.0,11314212.0,North America,102.8872,18-04-2022
Lebanon,1095685.0,72.0,10363.0,3.0,1076531.0,0.0,8791.0,186.0,4795578.0,6770609.0,Asia,639.5761,18-04-2022
Lithuania,1049801.0,418.0,9024.0,4.0,1007222.0,1387.0,33555.0,44.0,8183615.0,2654163.0,Europe,40.7612,18-04-2022
Tunisia,1038668.0,0.0,28509.0,0.0,46401.0,0.0,963758.0,29.0,4547755.0,12040494.0,Africa,73.6303,18-04-2022
Slovenia,997791.0,393.0,6560.0,3.0,968880.0,806.0,22351.0,30.0,2634315.0,2079451.0,Europe,102.5025,18-04-2022
