,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
0,World,"512,810,334","+584,947","6,259,142","+2,349","466,646,163","+731,536","39,905,029","41,347","65,789",803.0,,,
1,China,"214,243","+5,659","4,975",+52,"180,951","+2,796","28,317",417,149,3,"160,000,000","111,163","1,439,323,776"
2,USA,"83,042,156","+64,262","1,020,718",+282,"80,655,525","+32,122","1,365,913","1,562","248,225","3,051","1,005,251,244","3,004,844","334,543,517"
3,India,"43,075,864","+3,378","523,803",+50,"42,533,377","+2,755","18,684",698,"30,664",373,"836,945,383","595,795","1,404,754,469"
4,Brazil,"30,433,042","+14,122","663,484",+195,"29,507,557","+8,135","262,001","8,318","141,341","3,081","63,776,166","296,198","215,315,795"
5,France,"28,595,803","+52,919","145,869",+158,"26,694,010","+141,558","1,755,924","1,677","436,331","2,226","266,484,045","4,066,162","65,536,993"
6,Germany,"24,704,597","+96,523","135,794",+186,"22,227,600","+139,300","2,341,203","1,446","293,151","1,611","122,332,384","1,451,626","84,272,659"
7,UK,"22,038,340","+7,332","174,912",+216,"21,168,418","+37,580","695,010",302,"321,556","2,552","517,337,635","7,548,346","68,536,553"
8,Russia,"18,174,991","+7,710","375,727",+161,"17,528,963","+11,041","270,301","2,300","124,445","2,573","273,400,000","1,871,979","146,048,611"
9,S. Korea,"17,194,616","+50,551","22,724",+136,N/A,N/A,N/A,526,"334,853",443,"15,804,065","307,773","51,349,673"
10,Italy,"16,409,598","+59,276","163,377",+133,"14,998,689","+60,951","1,247,532",371,"272,134","2,709","213,390,610","3,538,836","60,299,653"
11,Turkey,"15,030,321","+1,924","98,760",+9,"14,927,975",,"3,586",975,"174,782","1,148","158,905,150","1,847,851","85,994,556"
12,Spain,"11,896,152","+20,899","104,456",+77,"11,389,694","+14,081","402,002",339,"254,257","2,233","471,036,328","10,067,500","46,787,813"
13,Vietnam,"10,644,700","+6,068","43,038",+1,"9,245,528","+3,225","1,356,134",594,"107,591",435,"85,796,776","867,192","98,936,255"
14,Argentina,"9,072,230",,"128,542",,"8,895,999",,"47,689",372,"197,427","2,797","35,716,069","777,242","45,952,326"
15,Netherlands,"8,047,132","+1,679","22,243",+4,"7,811,568","+27,781","213,321",66,"467,747","1,293","21,107,399","1,226,887","17,204,034"
16,Japan,"7,813,849","+42,313","29,506",+39,"7,356,289","+36,932","428,054",173,"62,128",235,"48,589,480","386,335","125,770,233"
17,Iran,"7,221,121",+719,"141,072",+14,"6,980,483","+2,723","99,566","1,076","84,011","1,641","50,914,586","592,347","85,953,973"
18,Colombia,"6,092,403",+236,"139,793",+4,"5,926,016",+188,"26,594",342,"117,450","2,695","34,465,052","664,422","51,872,217"
